,children,days_employed,dob_years,education_id,family_status_id,gender,income_type,debt,total_income,purpose,total_income_category,purpose_category
49,0,1181.443228272809,54,1,0,f,сотрудник,0,44591,автомобиль,D,операции с автомобилем
50,0,353731.4323382981,63,1,0,f,пенсионер,0,92342,автомобили,C,операции с автомобилем
51,1,6953.631654563154,50,0,1,f,сотрудник,0,203199,свадьба,B,операции с недвижимостью
52,1,3554.6715257531628,28,1,0,f,сотрудник,0,52746,получение дополнительного образования,C,операции с недвижимостью
53,0,4219.88338560805,61,1,3,f,компаньон,0,311453,покупка своего жилья,B,операции с недвижимостью
54,0,3480.072792773725,27,0,1,f,сотрудник,0,92238,автомобили,C,операции с автомобилем
55,0,1203.369528770489,54,1,1,f,пенсионер,1,145017,сыграть свадьбу,C,операции с недвижимостью
56,0,370145.0872371805,64,1,2,f,пенсионер,0,149141,образование,C,операции с недвижимостью
57,0,2424.809748937992,44,1,2,f,сотрудник,0,58616,образование,C,операции с недвижимостью
58,0,335.31863038428764,36,0,0,m,сотрудник,0,414404,недвижимость,B,операции с недвижимостью
59,0,4341.7867754100425,53,1,1,f,компаньон,0,261369,операции с недвижимостью,B,операции с недвижимостью
60,1,2534.462390327333,48,1,0,m,сотрудник,0,129902,заняться образованием,C,операции с недвижимостью
61,0,2986.20212028634,42,1,1,f,сотрудник,0,173987,покупка недвижимости,C,операции с недвижимостью
62,0,7845.6492334208915,48,0,4,m,госслужащий,0,435388,получение высшего образования,B,операции с недвижимостью
63,0,1182.5477437277514,45,1,0,f,сотрудник,0,110004,операции с жильем,C,операции с недвижимостью
64,0,118.89141142450092,35,2,4,m,сотрудник,0,282900,сделка с подержанным автомобилем,B,операции с автомобилем
65,0,1203.369528770489,21,1,4,m,компаньон,0,145017,операции с коммерческой недвижимостью,C,операции с недвижимостью
66,0,916.4288292557608,28,1,0,m,сотрудник,0,145214,заняться образованием,C,операции с недвижимостью
67,0,1203.369528770489,52,0,0,f,пенсионер,0,145017,покупка жилья для семьи,C,операции с недвижимостью
68,2,2152.475526346754,46,0,0,m,компаньон,0,592071,операции с коммерческой недвижимостью,B,операции с недвижимостью
69,0,779.2284491479346,23,1,4,f,сотрудник,0,91247,покупка своего жилья,C,операции с недвижимостью
70,1,2802.2266713967297,28,0,0,m,госслужащий,0,207561,покупка коммерческой недвижимости,B,операции с недвижимостью
71,0,338113.5298924872,62,1,0,f,пенсионер,0,43929,автомобили,D,операции с автомобилем
72,1,1203.369528770489,32,0,0,m,госслужащий,0,145017,операции с коммерческой недвижимостью,C,операции с недвижимостью
73,0,1631.9394026219366,40,1,1,m,сотрудник,0,97946,заняться образованием,C,операции с недвижимостью
74,1,5110.54370925475,45,1,0,f,сотрудник,0,81142,покупка жилья для семьи,C,операции с недвижимостью
75,1,2953.151947577933,38,1,0,m,сотрудник,1,81935,операции с недвижимостью,C,операции с недвижимостью
76,1,2252.1927219941026,44,0,0,m,сотрудник,0,148992,на покупку подержанного автомобиля,C,операции с автомобилем
77,0,726.9437706256638,43,0,4,f,сотрудник,0,140843,свой автомобиль,C,операции с автомобилем
78,0,359722.94507371227,61,0,0,m,пенсионер,0,175127,сделка с автомобилем,C,операции с автомобилем
79,0,3278.296751179717,27,1,4,m,компаньон,0,253681,автомобили,B,операции с автомобилем
80,0,127.33494240597255,25,1,4,f,компаньон,0,82740,сделка с автомобилем,C,операции с автомобилем
81,0,204.6731655316556,33,1,0,f,сотрудник,0,110833,профильное образование,C,операции с недвижимостью
82,2,1203.369528770489,50,0,0,f,сотрудник,0,145017,жилье,C,операции с недвижимостью
83,0,1203.369528770489,52,1,0,m,сотрудник,0,145017,жилье,C,операции с недвижимостью
84,0,7125.21502761462,53,1,0,f,госслужащий,0,255909,операции со своей недвижимостью,B,операции с недвижимостью
85,0,275.99384748839213,30,1,0,m,сотрудник,0,54123,высшее образование,C,операции с недвижимостью
86,0,383933.5496643384,64,1,1,m,пенсионер,0,243033,свадьба,B,операции с недвижимостью
87,0,337659.5350035947,53,1,0,f,пенсионер,0,74363,покупка жилья для сдачи,C,операции с недвижимостью
88,0,373129.7896543124,63,0,1,f,пенсионер,0,206872,на проведение свадьбы,B,операции с недвижимостью
89,0,72.62578520446468,42,1,1,f,компаньон,0,49463,сделка с подержанным автомобилем,D,операции с автомобилем
90,2,1203.369528770489,35,0,0,f,сотрудник,0,145017,операции с жильем,C,операции с недвижимостью
91,2,5010.9974361252725,39,1,0,f,сотрудник,0,155886,покупка недвижимости,C,операции с недвижимостью
92,1,1669.2796814947967,40,0,1,f,сотрудник,0,191397,сыграть свадьбу,C,операции с недвижимостью
93,1,1446.6225418245374,32,1,0,m,сотрудник,1,331139,сделка с автомобилем,B,операции с автомобилем
94,1,1203.369528770489,34,0,1,f,компаньон,0,145017,на проведение свадьбы,C,операции с недвижимостью
95,0,541.8322411633181,51,0,0,f,сотрудник,0,94187,автомобиль,C,операции с автомобилем
96,0,1203.369528770489,44,1,0,f,сотрудник,0,145017,покупка жилой недвижимости,C,операции с недвижимостью
97,0,1203.369528770489,47,0,0,f,сотрудник,0,145017,профильное образование,C,операции с недвижимостью
98,0,364906.2057355492,54,0,0,f,пенсионер,0,199707,покупка жилья для сдачи,C,операции с недвижимостью
99,0,346541.6188949218,0,1,0,f,пенсионер,0,71291,автомобиль,C,операции с автомобилем
100,0,605.0264409707586,49,1,2,f,сотрудник,1,176384,операции с недвижимостью,C,операции с недвижимостью
101,0,391558.9618490568,65,1,0,f,пенсионер,0,157970,на покупку своего автомобиля,C,операции с автомобилем
102,0,1377.4472350796152,51,1,1,f,компаньон,0,126706,на покупку подержанного автомобиля,C,операции с автомобилем
103,1,888.2833470851367,39,1,4,f,сотрудник,0,142231,строительство недвижимости,C,операции с недвижимостью
104,0,366323.6494289441,59,1,4,f,пенсионер,0,163581,покупка жилья для сдачи,C,операции с недвижимостью
105,0,2098.6262962257147,62,1,2,f,сотрудник,0,76884,строительство собственной недвижимости,C,операции с недвижимостью
106,1,300.64259328925505,29,1,1,f,сотрудник,0,171871,образование,C,операции с недвижимостью
107,0,1493.4491168729676,24,0,1,f,компаньон,0,202988,строительство собственной недвижимости,B,операции с недвижимостью
108,2,753.4670420858772,33,0,1,f,сотрудник,0,180051,сделка с подержанным автомобилем,C,операции с автомобилем
109,0,2147.472607702785,59,1,0,f,сотрудник,0,107643,образование,C,операции с недвижимостью
110,0,413.9826020927449,41,1,0,m,госслужащий,0,118551,покупка жилья,C,операции с недвижимостью
111,0,12930.541677797675,61,1,4,f,компаньон,0,173896,недвижимость,C,операции с недвижимостью
112,1,1841.3580944791947,28,0,0,m,сотрудник,0,280934,недвижимость,B,операции с недвижимостью
113,0,6083.9947296293385,52,1,0,f,госслужащий,0,120655,образование,C,операции с недвижимостью
114,0,1599.8791614370475,26,0,0,f,сотрудник,1,143471,операции со своей недвижимостью,C,операции с недвижимостью
115,1,2523.847898226973,38,0,0,f,госслужащий,0,97848,операции с коммерческой недвижимостью,C,операции с недвижимостью
116,1,540.0384252136863,50,1,0,m,сотрудник,0,83366,покупка жилой недвижимости,C,операции с недвижимостью
117,0,3817.113294534001,41,1,3,f,сотрудник,0,178975,на покупку автомобиля,C,операции с автомобилем
118,2,2774.655137092032,33,1,1,m,компаньон,0,113572,на проведение свадьбы,C,операции с недвижимостью
119,0,382189.12905557256,60,1,4,f,пенсионер,0,31534,покупка коммерческой недвижимости,D,операции с недвижимостью
120,0,1203.369528770489,46,1,0,f,сотрудник,0,145017,высшее образование,C,операции с недвижимостью
121,0,1203.369528770489,29,0,0,f,компаньон,0,145017,автомобиль,C,операции с автомобилем
122,0,171.1624207214407,55,0,0,f,компаньон,0,103628,автомобили,C,операции с автомобилем
123,2,5718.70890108714,39,1,0,m,сотрудник,0,83892,покупка жилья для сдачи,C,операции с недвижимостью
124,0,1080.514782425162,38,1,0,f,сотрудник,1,175046,операции с коммерческой недвижимостью,C,операции с недвижимостью
125,0,191.1467457844417,64,0,1,f,компаньон,0,186408,свадьба,C,операции с недвижимостью
126,1,2471.5485518184228,49,1,0,m,компаньон,0,339517,строительство собственной недвижимости,B,операции с недвижимостью
127,0,5229.55206892918,43,0,4,f,сотрудник,0,203279,строительство жилой недвижимости,B,операции с недвижимостью
128,0,379035.9206190428,67,1,3,f,пенсионер,0,112331,сделка с автомобилем,C,операции с автомобилем
129,0,361010.32134996407,61,1,1,m,пенсионер,0,103644,автомобиль,C,операции с автомобилем
130,0,897.3228055367267,42,1,0,f,компаньон,0,95845,операции со своей недвижимостью,C,операции с недвижимостью
131,0,639.5647075616622,58,1,0,m,сотрудник,0,73637,получение дополнительного образования,C,операции с недвижимостью
132,1,1306.4284560155902,45,1,0,m,сотрудник,0,246227,автомобиль,B,операции с автомобилем
133,0,344507.39278483123,64,1,0,f,пенсионер,0,79047,образование,C,операции с недвижимостью
134,1,4171.107677064886,46,2,3,f,сотрудник,0,166015,покупка жилой недвижимости,C,операции с недвижимостью
135,0,1203.369528770489,27,1,0,m,компаньон,0,145017,жилье,C,операции с недвижимостью
136,0,357880.1593788016,60,3,0,m,пенсионер,0,113124,операции со своей недвижимостью,C,операции с недвижимостью
137,1,1910.0375923185568,28,0,1,m,сотрудник,0,269423,сыграть свадьбу,B,операции с недвижимостью
138,0,2572.053172717263,43,1,0,f,госслужащий,0,119827,покупка своего жилья,C,операции с недвижимостью
139,0,1765.5573866944574,29,2,0,m,компаньон,0,196932,ремонт жилью,C,операции с недвижимостью
140,0,3017.782065456124,24,1,1,f,сотрудник,0,102110,покупка коммерческой недвижимости,C,операции с недвижимостью
141,0,1203.369528770489,39,1,1,m,сотрудник,0,145017,свадьба,C,операции с недвижимостью
142,0,347947.8355073804,54,1,0,f,пенсионер,0,108280,сделка с подержанным автомобилем,C,операции с автомобилем
143,0,1893.2998286398856,48,1,2,f,сотрудник,0,151069,строительство собственной недвижимости,C,операции с недвижимостью
144,1,2105.382664335544,45,1,1,f,сотрудник,0,284248,свой автомобиль,B,операции с автомобилем
145,0,1203.369528770489,62,1,0,m,пенсионер,0,145017,строительство недвижимости,C,операции с недвижимостью
146,0,1302.0260419746796,46,1,0,f,сотрудник,0,98709,покупка жилья,C,операции с недвижимостью
147,0,5772.479895574409,47,1,0,f,госслужащий,1,74535,операции с недвижимостью,C,операции с недвижимостью
148,0,5050.292839852283,37,1,0,f,сотрудник,0,145159,на покупку своего автомобиля,C,операции с автомобилем
149,0,2664.273168317157,0,1,3,f,сотрудник,0,70176,операции с жильем,C,операции с недвижимостью
150,0,393711.519922678,71,1,1,f,пенсионер,0,174088,сыграть свадьбу,C,операции с недвижимостью
151,0,896.462371368615,37,0,1,f,компаньон,0,463089,сыграть свадьбу,B,операции с недвижимостью
152,1,3597.776387865821,39,1,0,f,компаньон,0,40891,покупка своего жилья,D,операции с недвижимостью
153,1,132.74853603066168,20,1,0,m,компаньон,1,134750,жилье,C,операции с недвижимостью
154,1,1803.9306052678608,41,0,2,f,сотрудник,0,143113,операции с коммерческой недвижимостью,C,операции с недвижимостью
155,0,1208.5961786776136,40,1,0,f,компаньон,0,70788,дополнительное образование,C,операции с недвижимостью
156,0,362366.8571652186,65,1,0,m,пенсионер,0,261291,получение дополнительного образования,B,операции с недвижимостью
157,0,348414.02800940943,38,1,0,f,пенсионер,1,113560,сделка с автомобилем,C,операции с автомобилем
158,0,11001.589092067064,56,1,0,f,сотрудник,0,80547,образование,C,операции с недвижимостью
159,0,371052.6968127112,59,1,4,f,пенсионер,0,149542,на покупку своего автомобиля,C,операции с автомобилем
160,0,2063.2234729922893,45,1,1,m,сотрудник,0,198386,покупка жилья для сдачи,C,операции с недвижимостью
161,1,1147.591637441718,39,0,0,f,сотрудник,0,87107,приобретение автомобиля,C,операции с автомобилем
162,0,3755.843042173655,62,1,0,m,сотрудник,0,66577,получение дополнительного образования,C,операции с недвижимостью
163,0,7473.902957321618,50,1,0,m,сотрудник,0,78975,ремонт жилью,C,операции с недвижимостью
164,2,2357.523213608679,27,0,0,f,сотрудник,1,369587,на покупку своего автомобиля,B,операции с автомобилем
165,2,1268.8706856224185,32,0,0,m,госслужащий,0,228289,покупка жилья,B,операции с недвижимостью
166,0,450.0613423824006,38,1,1,m,сотрудник,0,144073,операции с жильем,C,операции с недвижимостью
167,0,7219.276087439847,56,1,1,f,госслужащий,0,220719,на проведение свадьбы,B,операции с недвижимостью
168,0,361970.2205052443,67,1,2,f,пенсионер,0,139038,покупка своего жилья,C,операции с недвижимостью
169,0,372110.89295327937,58,1,1,f,пенсионер,0,167861,приобретение автомобиля,C,операции с автомобилем
170,0,182.2267232528777,28,0,4,m,сотрудник,0,121721,жилье,C,операции с недвижимостью
171,0,9566.241471478188,60,1,1,f,компаньон,0,225197,на проведение свадьбы,B,операции с недвижимостью
172,0,4652.167869366604,49,1,0,f,сотрудник,0,182980,строительство недвижимости,C,операции с недвижимостью
173,0,9099.945304784307,49,1,0,m,компаньон,0,416461,покупка коммерческой недвижимости,B,операции с недвижимостью
174,0,1203.369528770489,55,0,2,f,компаньон,0,145017,свой автомобиль,C,операции с автомобилем
175,2,1734.7410117276208,38,1,0,f,сотрудник,0,141210,строительство недвижимости,C,операции с недвижимостью
176,0,364178.2549302824,60,1,0,f,пенсионер,0,104621,заняться высшим образованием,C,операции с недвижимостью
177,2,2109.314690632105,48,1,0,m,госслужащий,0,173074,сделка с подержанным автомобилем,C,операции с автомобилем
178,0,395728.36139811255,59,1,2,f,пенсионер,0,87268,приобретение автомобиля,C,операции с автомобилем
179,0,1177.0553834454738,43,1,4,f,сотрудник,0,177790,покупка своего жилья,C,операции с недвижимостью
180,0,60.6373275553343,37,1,1,f,сотрудник,0,212257,сыграть свадьбу,B,операции с недвижимостью
181,0,1203.369528770489,26,1,1,f,компаньон,1,145017,покупка жилья для семьи,C,операции с недвижимостью
182,1,8164.333209415941,49,1,1,f,сотрудник,0,81419,свадьба,C,операции с недвижимостью
183,1,166.26503703628762,35,0,1,m,компаньон,1,272193,получение дополнительного образования,B,операции с недвижимостью
184,0,369682.2227151696,57,0,0,m,пенсионер,0,141337,покупка жилья для сдачи,C,операции с недвижимостью
185,0,5026.2294602728525,32,1,1,m,сотрудник,1,160905,получение дополнительного образования,C,операции с недвижимостью
186,0,225.1236894800484,34,1,3,f,сотрудник,0,201650,операции с коммерческой недвижимостью,B,операции с недвижимостью
187,0,876.8431101663022,46,0,1,f,сотрудник,0,260037,высшее образование,B,операции с недвижимостью
188,0,99.19594695041458,48,1,0,m,сотрудник,0,173544,покупка своего жилья,C,операции с недвижимостью
189,1,1203.369528770489,30,1,4,f,сотрудник,0,145017,свой автомобиль,C,операции с автомобилем
190,0,335.5229563354112,26,1,1,m,компаньон,0,160891,на проведение свадьбы,C,операции с недвижимостью
191,0,336562.0164318586,60,1,0,f,пенсионер,0,173948,высшее образование,C,операции с недвижимостью
192,0,2573.1367803783523,47,1,0,m,сотрудник,0,218442,свой автомобиль,B,операции с автомобилем
193,0,386330.8511360464,60,0,3,f,пенсионер,0,97191,на покупку подержанного автомобиля,C,операции с автомобилем
194,0,98.31216168444011,24,1,1,m,компаньон,0,135860,получение образования,C,операции с недвижимостью
195,0,117.12788647939188,51,1,0,f,сотрудник,0,255838,дополнительное образование,B,операции с недвижимостью
196,0,1589.7814009573162,37,0,0,f,компаньон,0,160754,покупка своего жилья,C,операции с недвижимостью
197,0,12136.131380846336,59,0,0,f,сотрудник,0,140849,покупка недвижимости,C,операции с недвижимостью
198,0,1403.0808299019186,52,1,4,f,компаньон,0,139169,на покупку своего автомобиля,C,операции с автомобилем
199,1,223.5470176888244,23,1,2,f,сотрудник,0,58549,сделка с подержанным автомобилем,C,операции с автомобилем
200,0,5532.372185033889,41,1,1,f,сотрудник,0,201126,строительство недвижимости,B,операции с недвижимостью
201,0,6542.460790155981,39,1,0,f,компаньон,0,86996,покупка жилой недвижимости,C,операции с недвижимостью
202,1,1575.3235775718508,38,1,0,f,сотрудник,1,90960,покупка жилой недвижимости,C,операции с недвижимостью
203,0,2829.665755236844,56,1,0,m,сотрудник,0,163774,строительство собственной недвижимости,C,операции с недвижимостью
204,0,334637.4644627627,61,1,0,f,пенсионер,0,181307,строительство жилой недвижимости,C,операции с недвижимостью
205,1,1203.369528770489,31,0,0,f,сотрудник,0,145017,на покупку подержанного автомобиля,C,операции с автомобилем
206,0,363924.8816676821,54,1,0,f,пенсионер,0,267172,получение образования,B,операции с недвижимостью
207,0,1352.3179068855802,37,1,4,f,сотрудник,0,112735,покупка своего жилья,C,операции с недвижимостью
208,0,749.1756772991432,22,1,1,m,компаньон,0,162492,профильное образование,C,операции с недвижимостью
209,2,271.5705315052388,38,0,0,f,сотрудник,0,195133,операции с коммерческой недвижимостью,C,операции с недвижимостью
210,2,342167.21211236675,55,3,2,f,пенсионер,0,160635,строительство жилой недвижимости,C,операции с недвижимостью
211,0,577.2734342991156,41,3,1,f,сотрудник,0,36649,сделка с подержанным автомобилем,D,операции с автомобилем
212,0,5863.259029756954,48,0,4,m,госслужащий,0,239697,приобретение автомобиля,B,операции с автомобилем
213,1,703.2435102199611,38,0,1,m,сотрудник,1,231389,на покупку автомобиля,B,операции с автомобилем
214,2,1321.0792231329488,41,2,0,f,сотрудник,0,314546,покупка жилья для семьи,B,операции с недвижимостью
215,0,79.88034967664467,42,0,4,f,компаньон,0,260465,операции с недвижимостью,B,операции с недвижимостью
216,0,356.1311943614808,22,0,1,f,сотрудник,0,118757,образование,C,операции с недвижимостью
217,0,384569.9216399707,54,1,1,f,пенсионер,0,269589,строительство собственной недвижимости,B,операции с недвижимостью
218,1,2924.5983864777645,34,1,0,f,сотрудник,1,213214,на покупку своего автомобиля,B,операции с автомобилем
219,0,597.2734021772915,21,2,1,f,компаньон,0,86954,операции с коммерческой недвижимостью,C,операции с недвижимостью
220,1,1203.369528770489,23,2,1,f,компаньон,0,145017,сыграть свадьбу,C,операции с недвижимостью
221,0,383772.1713231299,65,1,2,f,пенсионер,0,178464,автомобили,C,операции с автомобилем
222,0,145.541617523979,32,0,0,m,компаньон,0,188982,покупка жилой недвижимости,C,операции с недвижимостью
223,0,337679.3582702238,61,1,3,f,пенсионер,0,110251,операции с коммерческой недвижимостью,C,операции с недвижимостью
224,2,1024.9491604702278,41,1,0,f,компаньон,0,94587,покупка своего жилья,C,операции с недвижимостью
225,0,434.9313375154888,52,1,0,f,сотрудник,0,153892,строительство недвижимости,C,операции с недвижимостью
226,1,2066.908426077889,30,1,0,f,госслужащий,0,132754,получение высшего образования,C,операции с недвижимостью
227,1,1588.8316419325315,64,0,1,f,сотрудник,0,142424,жилье,C,операции с недвижимостью
228,0,339193.0942916696,60,1,4,f,пенсионер,0,190426,ремонт жилью,C,операции с недвижимостью
229,0,336747.83528374555,73,1,2,f,пенсионер,0,136897,сделка с подержанным автомобилем,C,операции с автомобилем
230,1,2049.211575996865,28,1,1,m,компаньон,1,188585,свадьба,C,операции с недвижимостью
231,1,144.18585382423603,41,1,0,f,сотрудник,1,112090,покупка жилья для семьи,C,операции с недвижимостью
232,0,3803.807419355826,49,1,1,f,сотрудник,0,74616,свадьба,C,операции с недвижимостью
233,1,1475.697490068114,50,1,0,f,сотрудник,0,143391,на покупку автомобиля,C,операции с автомобилем
234,0,5865.31500734791,52,1,4,f,сотрудник,0,140447,профильное образование,C,операции с недвижимостью
235,0,1031.9076040874072,50,1,0,f,сотрудник,0,125165,жилье,C,операции с недвижимостью
236,0,395825.13252984686,59,1,0,f,пенсионер,0,142956,на покупку автомобиля,C,операции с автомобилем
237,2,2585.402858170127,37,1,0,m,сотрудник,0,202689,покупка недвижимости,B,операции с недвижимостью
238,0,708.0735831904608,44,1,1,f,сотрудник,0,235437,на проведение свадьбы,B,операции с недвижимостью
239,0,5267.841785143054,43,1,0,m,сотрудник,0,436688,операции с недвижимостью,B,операции с недвижимостью
240,0,4973.641484774767,47,1,2,f,компаньон,0,132797,покупка коммерческой недвижимости,C,операции с недвижимостью
241,0,1203.369528770489,47,1,0,m,сотрудник,0,145017,строительство собственной недвижимости,C,операции с недвижимостью
242,0,1203.369528770489,58,1,0,f,госслужащий,0,145017,покупка своего жилья,C,операции с недвижимостью
243,0,464.6341336266803,49,0,1,m,компаньон,0,383743,свадьба,B,операции с недвижимостью
244,0,879.5873497728171,48,1,1,f,сотрудник,0,130945,высшее образование,C,операции с недвижимостью
245,0,1933.31899355189,50,1,3,m,сотрудник,0,197169,покупка жилой недвижимости,C,операции с недвижимостью
246,1,1598.8702140303076,40,1,0,f,компаньон,0,158350,строительство недвижимости,C,операции с недвижимостью
247,1,1203.369528770489,60,0,0,f,пенсионер,1,145017,заняться высшим образованием,C,операции с недвижимостью
248,0,3132.180734195495,31,1,0,m,сотрудник,0,259511,покупка жилой недвижимости,B,операции с недвижимостью
249,0,1615.9148140204693,29,0,0,f,сотрудник,0,188190,получение высшего образования,C,операции с недвижимостью
250,0,1203.369528770489,54,0,0,f,сотрудник,0,145017,сделка с подержанным автомобилем,C,операции с автомобилем
251,0,380628.3793297923,71,1,2,f,пенсионер,0,138877,покупка коммерческой недвижимости,C,операции с недвижимостью
252,1,5793.741211736386,35,1,0,f,компаньон,0,230040,покупка жилья,B,операции с недвижимостью
253,0,357915.03630280367,63,1,2,f,пенсионер,0,91947,получение высшего образования,C,операции с недвижимостью
254,2,940.6004540822236,44,0,0,f,компаньон,0,327126,жилье,B,операции с недвижимостью
255,0,6373.865375741792,45,1,0,m,сотрудник,0,119879,покупка жилья,C,операции с недвижимостью
256,0,1681.6645489757752,52,1,0,f,сотрудник,0,82913,дополнительное образование,C,операции с недвижимостью
257,0,874.8530628222733,49,0,0,m,сотрудник,0,204544,операции с жильем,B,операции с недвижимостью
258,1,930.0835695908776,47,1,1,m,сотрудник,0,149082,свадьба,C,операции с недвижимостью
259,0,1611.5705027263714,29,0,1,f,сотрудник,0,211975,свадьба,B,операции с недвижимостью
260,1,1710.1403339177082,29,1,1,f,компаньон,0,286533,покупка жилья для семьи,B,операции с недвижимостью
261,0,2658.4860825068777,51,1,0,f,компаньон,0,143913,операции с жильем,C,операции с недвижимостью
262,0,1617.8403552782231,44,1,0,f,сотрудник,0,168586,покупка недвижимости,C,операции с недвижимостью
263,0,383664.7812096172,52,1,0,f,пенсионер,0,75225,строительство жилой недвижимости,C,операции с недвижимостью
264,2,1203.369528770489,40,1,3,f,сотрудник,0,145017,недвижимость,C,операции с недвижимостью
265,2,2888.5517238004663,48,1,0,m,компаньон,0,215985,строительство недвижимости,B,операции с недвижимостью
